"","target.priority","altitude..hundreds.of.feet."
"14257","1",10
"14258","1",10
"14259","1",2
"14260","1",2
"14261","1",110
"14262","1",105
"14263","1",75
"14264","1",1
"14265","1",1
"14266","1",147
"14267","1",190
"14268","1",200
"14269","1",1
"14270","1",1
"14271","1",1
"14272","1",1
"14273","3",1
"14274","1",1
"14275","1",1
"14276","1",1
"14277","1",1
"14278","1",1
"14279","1",1
"14280","1",1
"14281","1",1
"14282","1",1
"14283","1",190
"14284","1",3
"14285","1",196
"14286","1",103
"14287","1",3
"14288","1",3
"14289","1",3
"14290","1",170
"14291","1",139
"14292","2",120
"14293","1",10
"14294","1",20
"14295","1",139
"14296","1",40
"14297","1",30
"14298","1",15
"14299","1",25
"14300","1",139
"14301","1",235
"14302","1",235
"14303","1",235
"14304","1",231
"14305","1",231
"14306","1",231
"14307","1",227
"14308","1",227
"14309","1",227
"14310","1",225
"14311","1",225
"14312","1",225
"14313","1",220
"14314","1",220
"14315","1",220
"14316","1",220
"14317","1",220
"14318","1",220
"14319","1",219
"14320","1",219
"14321","1",219
"14322","2",215
"14323","2",215
"14324","2",215
"14325","1",215
"14326","1",215
"14327","1",215
"14328","1",215
"14329","1",215
"14330","1",215
"14331","1",215
"14332","1",215
"14333","1",215
"14334","1",214
"14335","1",214
"14336","1",214
"14337","1",214
"14338","1",214
"14339","1",214
"14340","1",210
"14341","1",209
"14342","1",209
"14343","1",209
"14344","1",209
"14345","1",209
"14346","1",209
"14347","1",206
"14348","1",206
"14349","1",206
"14350","1",205
"14351","1",205
"14352","1",205
"14353","1",205
"14354","1",205
"14355","1",205
"14356","1",205
"14357","1",203
"14358","1",203
"14359","1",203
"14360","1",201
"14361","1",201
"14362","1",201
"14363","1",200
"14364","1",200
"14365","1",200
"14366","1",200
"14367","1",200
"14368","1",200
"14369","1",200
"14370","1",200
"14371","1",200
"14372","1",199
"14373","1",196
"14374","1",196
"14375","1",196
"14376","1",195
"14377","1",195
"14378","1",195
"14379","1",194
"14380","1",194
"14381","1",194
"14382","1",174
"14383","1",174
"14384","1",174
"14385","1",166
"14386","1",166
"14387","1",166
"14388","1",160
"14389","1",160
"14390","1",160
"14391","1",148
"14392","1",148
"14393","1",148
"14394","1",115
"14395","1",115
"14396","1",115
"14397","1",110
"14398","1",110
"14399","1",105
"14400","1",105
"14401","3",139
"14402","3",139
"14403","1",222
"14404","1",195
"14405","1",170
"14406","1",85
"14407","1",139
"14408","1",80
"14409","4",139
"14410","1",139
"14411","1",139
"14412","1",139
"14413","1",231
"14414","1",241
"14415","1",220
"14416","1",208
"14417","1",210
"14418","1",215
"14419","1",240
"14420","1",100
"14421","1",200
"14422","1",103
"14423","1",90
"14424","1",1
"14425","2",184
"14426","2",120
"14427","1",139
"14429","1",1
"14430","1",1
"14431","1",1
"14432","1",139
"14433","1",2
"14434","1",2
"14435","1",1
"14436","1",1
"14437","1",1
"14438","2",150
"14441","1",130
"14442","1",139
"14443","1",100
"14444","1",100
"14445","1",90
"14447","2",107
"14448","2",103
"14449","2",60
"14450","1",145
"14451","2",50
"14452","1",90
"14453","1",15
"14454","1",139
"14455","2",87
"14457","1",30
"14458","1",117
"14460","2",139
"14461","2",139
"14462","1",139
"14463","1",139
"14466","1",139
"14467","1",139
"14468","1",139
"14469","1",139
"14472","1",10
"14473","1",139
"14474","1",20
"14475","1",139
"14476","1",139
"14477","3",139
"14478","3",139
"14479","4",139
"14481","1",139
"14482","1",139
"14483","1",139
"14484","1",139
"14485","1",139
"14486","1",139
"14487","1",139
"14488","1",139
"14489","1",139
"14490","1",139
"14491","1",139
"14492","1",139
"14493","1",139
"14494","1",139
"14495","1",139
"14496","1",139
"14497","1",139
"14498","1",139
"14499","1",139
"14500","1",139
"14501","1",3
"14502","2",210
"14503","1",85
"14504","1",30
"14505","1",15
"14506","1",15
"14507","1",15
"14508","1",15
"14509","1",15
"14510","1",1
"14511","1",20
"14512","1",15
"14513","1",15
"14514","1",10
"14515","1",10
"14516","1",10
"14517","1",10
"14518","1",15
"14519","1",15
"14520","1",1
"14521","1",139
"14522","1",139
"14524","2",230
"14525","1",157
"14526","2",139
"14531","1",125
"14532","1",120
"14533","1",120
"14534","1",120
"14535","1",120
"14536","1",110
"14537","1",110
"14538","1",105
"14539","1",105
"14540","1",80
"14541","1",80
"14542","2",272
"14543","2",250
"14544","2",250
"14545","2",250
"14546","2",250
"14547","1",250
"14548","1",250
"14549","1",240
"14550","1",240
"14551","3",235
"14552","3",235
"14553","3",230
"14554","2",230
"14555","2",230
"14556","3",214
"14557","1",205
"14558","1",205
"14559","1",205
"14560","1",205
"14561","3",139
"14562","3",139
"14563","3",139
"14564","3",139
"14565","3",139
"14566","1",295
"14567","1",280
"14568","1",265
"14569","1",260
"14570","1",259
"14571","1",250
"14572","1",248
"14573","1",245
"14574","1",243
"14575","1",240
"14576","1",235
"14577","1",235
"14578","1",230
"14579","1",224
"14580","3",220
"14581","1",139
"14582","2",270
"14583","2",270
"14584","2",269
"14585","2",268
"14586","2",266
"14587","2",265
"14588","2",265
"14589","2",261
"14590","2",257
"14591","2",256
"14592","2",255
"14593","2",253
"14594","2",250
"14595","2",250
"14596","2",250
"14597","2",250
"14598","2",250
"14599","2",245
"14600","2",244
"14601","1",105
"14602","1",102
"14603","1",102
"14604","1",102
"14605","1",100
"14606","1",100
"14607","1",98
"14608","1",98
"14609","1",98
"14610","3",96
"14611","3",96
"14612","3",96
"14613","4",95
"14614","4",95
"14615","4",95
"14616","1",95
"14617","1",95
"14618","1",95
"14619","1",95
"14620","1",95
"14621","1",95
"14622","1",95
"14623","1",95
"14624","1",95
"14625","1",95
"14626","1",95
"14627","1",95
"14628","2",91
"14629","2",91
"14630","2",91
"14631","1",86
"14632","1",86
"14633","1",86
"14634","1",11
"14635","1",10
"14639","1",139
"14641","1",139
"14642","1",139
"14643","1",139
"14644","1",139
"14649","1",139
"14650","4",139
"14651","4",139
"14652","4",139
"14653","4",139
"14654","1",139
"14655","4",139
"14656","4",139
"14657","4",139
"14658","4",139
"14659","1",139
"14660","4",139
"14661","4",139
"14662","4",139
"14663","4",139
"14664","1",139
"14665","1",139
"14666","1",139
"14667","1",139
"14668","1",139
"14669","1",139
"14670","4",139
"14671","4",139
"14672","4",139
"14673","4",139
"14674","4",139
"14675","4",139
"14676","4",139
"14677","4",139
"14678","4",139
"14679","4",139
"14680","4",139
"14681","1",139
"14682","1",139
"14683","1",139
"14691","2",139
"14692","1",139
"14693","1",139
"14694","1",139
"14695","1",139
"14696","1",139
"14697","1",139
"14698","1",139
"14699","1",139
"14700","1",139
"14701","1",139
"14702","1",139
"14703","1",139
"14704","1",139
"14705","1",139
"14706","1",139
"14707","1",139
"14708","1",139
"14709","1",139
"14710","1",139
"14711","1",139
"14712","1",139
"14713","1",139
"14714","1",139
"14715","2",139
"14716","1",139
"14717","1",139
"14718","1",139
"14719","1",139
"14720","1",139
"14721","1",139
"14723","1",70
"14724","1",60
"14725","1",70
"14726","1",75
"14727","1",2
"14728","1",1
"14729","1",190
"14730","1",139
"14732","1",100
"14733","1",70
"14734","1",139
"14735","1",139
"14736","1",150
"14738","1",139
"14739","1",139
"14740","1",139
"14741","1",139
"14742","1",815
"14743","1",1
"14744","1",60
"14745","1",1
"14746","1",70
"14747","1",217
"14748","1",205
"14749","1",45
"14750","1",60
"14751","1",1
"14752","1",139
"14753","1",2
"14754","1",6
"14755","1",2
"14756","1",2
"14757","2",2
"14758","1",1
"14760","2",1
"14761","1",1
"14762","1",139
"14765","1",163
"14766","1",20
"14767","1",150
"14768","1",6
"14773","1",139
"14774","1",139
"14775","1",139
"14776","1",139
"14777","1",139
"14778","1",139
"14779","1",139
"14780","1",139
"14781","1",139
"14782","1",139
"14783","1",139
"14784","1",139
"14785","1",139
"14786","1",139
"14787","1",139
"14788","1",139
"14789","1",139
"14790","1",139
"14791","1",139
"14792","1",139
"14793","1",139
"14794","1",139
"14795","1",139
"14796","1",139
"14797","1",139
"14798","1",139
"14799","1",139
"14800","1",139
"14801","2",243
"14802","2",242
"14803","2",240
"14804","2",230
"14805","2",230
"14806","2",228
"14807","2",224
"14808","2",219
"14809","2",210
"14810","2",200
"14811","2",200
"14812","2",200
"14815","2",190
"14839","2",139
"14842","3",139
"14843","3",139
"14844","3",139
"14846","2",139
"14851","3",139
"14852","3",139
"14853","3",139
"14854","3",139
"14855","3",265
"14856","3",265
"14857","3",265
"14858","1",260
"14859","1",260
"14860","1",260
"14861","1",255
"14862","1",255
"14863","1",255
"14864","1",250
"14865","1",250
"14866","1",250
"14867","1",245
"14868","1",245
"14869","1",245
"14870","2",242
"14871","2",242
"14872","3",242
"14873","2",240
"14874","2",240
"14875","2",231
"14876","2",231
"14877","2",230
"14878","2",230
"14879","2",227
"14880","2",227
"14881","2",226
"14882","2",226
"14883","2",226
"14884","2",226
"14885","2",225
"14886","2",225
"14887","2",225
"14888","2",225
"14889","2",225
"14890","2",225
"14891","2",225
"14892","2",225
"14893","1",139
"14894","1",139
"14895","1",139
"14896","2",139
"14897","2",139
"14898","3",139
"14899","3",139
"14900","3",139
"14901","1",139
"14902","1",139
"14903","1",139
"14905","1",210
"14906","1",210
"14907","1",210
"14908","1",190
"14909","1",190
"14910","1",190
"14911","1",180
"14912","1",180
"14913","1",180
"14914","1",165
"14915","1",165
"14916","1",165
"14917","1",269
"14918","1",257
"14919","1",255
"14920","1",252
"14921","1",250
"14922","1",245
"14923","1",190
"14924","1",190
"14925","1",190
"14926","1",190
"14927","1",190
"14928","1",190
"14929","1",180
"14930","1",180
"14931","1",180
"14932","1",160
"14933","1",160
"14934","1",160
"14935","1",160
"14936","1",160
"14937","1",160
"14938","1",120
"14939","1",120
"14940","1",113
"14941","1",113
"14942","1",113
"14943","1",12
"14945","1",25
"14946","1",1
"14947","1",23
"14948","1",1
"14949","1",1
"14950","1",30
"14951","1",200
"14952","1",171
"14953","1",120
"14954","1",30
"14955","1",100
"14958","1",1
"14959","1",139
"14960","1",139
"14961","1",191
"14962","1",1
"14963","1",1
"14964","1",195
"14965","1",195
"14966","2",25
"14967","1",139
"14968","1",75
"14969","1",75
"14970","1",65
"14971","1",55
"14972","1",28
"14973","1",139
"14974","1",17
"14975","1",139
"14976","1",3
"14977","1",30
"14978","1",70
"14979","1",65
"14980","1",60
"14981","1",65
"14982","1",25
"14983","1",20
"14984","1",30
"14985","1",120
"14986","1",70
"14987","1",30
"14988","1",25
"14989","1",25
"14990","1",70
"14991","1",70
"14992","1",70
"14993","1",1
"14994","1",139
"14995","1",30
"14996","1",20
"14997","1",20
"14998","1",8
"14999","1",139
"15000","1",139
"15002","1",139
"15003","1",139
"15004","1",130
"15005","1",120
"15006","1",1
"15007","1",1
"15008","1",2
"15009","1",1
"15010","1",2
"15011","1",139
"15012","1",1
"15013","1",139
"15015","1",100
"15016","1",94
"15017","1",139
"15018","1",139
"15019","1",139
"15020","1",20
"15021","1",80
"15022","1",139
"15024","1",139
"15025","1",139
"15028","1",139
"15029","1",10
"15030","1",11
"15031","1",173
"15032","1",1
"15033","1",175
"15034","1",180
"15035","1",139
"15036","1",2
"15037","1",139
"15038","1",139
"15040","1",5
"15041","1",1
"15044","3",139
"15057","3",139
"15058","3",139
"15059","3",139
"15060","1",139
"15061","1",139
"15062","1",139
"15063","1",139
"15064","1",139
"15065","1",139
"15066","1",139
"15067","1",139
"15068","1",123
"15069","1",139
"15070","1",139
"15071","1",15
"15072","1",130
"15073","1",110
"15074","1",1
"15075","1",1
"15076","1",203
"15077","1",139
"15079","1",1
"15082","1",139
"15083","1",139
"15084","1",70
"15086","1",139
"15087","1",139
"15088","1",139
"15089","1",139
"15090","1",139
"15091","1",139
"15092","1",139
"15093","1",139
"15094","1",139
"15095","1",139
"15096","1",139
"15097","1",139
"15098","1",139
"15099","1",139
"15100","1",139
"15104","1",270
"15105","1",270
"15106","3",263
"15107","1",261
"15108","1",261
"15109","1",260
"15110","1",260
"15111","1",259
"15112","1",259
"15116","3",255
"15117","1",246
"15118","1",246
"15119","1",245
"15120","1",245
"15121","1",242
"15122","1",242
"15124","1",236
"15125","1",236
"15129","4",235
"15133","4",230
"15134","4",230
"15135","4",230
"15136","1",225
"15137","1",225
"15138","1",225
"15139","1",225
"15201","1",80
"15202","1",5
"15203","1",4
"15204","1",1
"15205","1",1
"15206","1",139
"15207","1",139
"15208","1",139
"15209","1",139
"15210","1",5
"15211","1",10
"15212","1",148
"15213","1",114
"15214","1",114
"15215","1",114
"15216","1",139
"15217","1",208
"15227","3",139
"15228","3",139
"15229","3",139
"15230","3",139
"15231","3",139
"15232","3",139
"15233","2",215
"15234","1",211
"15235","1",209
"15236","1",208
"15237","2",208
"15238","1",196
"15239","1",194
"15240","1",191
"15241","3",139
"15242","3",139
"15243","3",139
"15244","3",139
"15245","3",139
"15246","3",139
"15247","3",139
"15248","3",139
"15249","3",139
"15250","3",139
"15251","3",139
"15252","3",139
"15253","4",139
"15254","1",253
"15255","1",219
"15256","2",217
"15257","1",217
"15258","1",216
"15259","1",216
"15260","1",216
"15261","1",212
"15262","1",211
"15263","1",211
"15264","1",210
"15265","4",210
"15266","1",208
"15267","1",206
"15268","1",206
"15269","1",206
"15270","1",206
"15271","1",205
"15272","1",205
"15273","1",203
"15274","1",200
"15275","1",200
"15276","1",200
"15277","1",199
"15278","1",198
"15279","1",196
"15280","1",195
"15281","1",195
"15282","1",195
"15283","1",194
"15284","1",194
"15285","1",194
"15286","4",190
"15287","1",190
"15288","1",190
"15289","1",190
"15290","1",181
"15291","1",181
"15292","1",181
"15293","1",180
"15294","1",180
"15295","1",180
"15296","1",180
"15297","1",180
"15298","1",180
"15299","1",180
"15300","1",180
"15301","1",139
"15302","1",139
"15303","1",139
"15304","1",139
"15305","1",139
"15306","1",139
"15307","1",139
"15308","1",139
"15309","1",139
"15310","1",139
"15311","1",139
"15312","1",139
"15313","1",139
"15314","2",186
"15315","1",195
"15316","1",139
"15317","1",10
"15319","1",1
"15321","1",70
"15322","1",2
"15323","1",20
"15324","1",139
"15325","1",139
"15326","1",19
"15327","1",17
"15328","1",15
"15329","1",15
"15330","1",52
"15331","1",90
"15334","1",139
"15335","1",139
"15336","1",139
"15337","1",139
"15338","1",139
"15342","2",139
"15349","1",139
"15350","1",139
"15351","1",139
"15356","1",139
"15357","1",139
"15358","1",139
"15360","1",139
"15361","1",139
"15362","1",139
"15363","1",139
"15364","1",139
"15365","1",139
"15367","3",139
"15368","3",139
"15369","3",139
"15370","1",139
"15371","1",139
"15372","1",139
"15373","1",139
"15374","1",139
"15375","1",139
"15378","1",139
"15379","1",139
"15380","1",139
"15381","1",139
"15382","1",139
"15383","1",139
"15387","1",139
"15388","1",139
"15389","1",139
"15390","1",139
"15391","1",139
"15392","1",139
"15393","1",139
"15394","1",139
"15395","1",139
"15396","1",139
"15397","1",139
"15398","1",139
"15399","1",139
"15400","1",139
"15409","3",139
"15410","3",139
"15411","3",139
"15412","3",139
"15413","3",139
"15414","3",139
"15419","3",139
"15422","3",139
"15423","3",139
"15424","3",139
"15425","3",139
"15426","3",139
"15430","3",139
"15431","3",139
"15432","3",139
"15433","3",139
"15434","3",228
"15435","1",220
"15436","2",215
"15437","1",205
"15438","1",110
"15439","1",110
"15440","1",100
"15441","1",100
"15442","1",90
"15443","1",90
"15444","1",90
"15445","1",90
"15446","1",90
"15447","1",90
"15448","1",80
"15449","1",80
"15450","1",80
"15451","1",80
"15452","1",9
"15453","1",139
"15454","1",139
"15455","1",139
"15456","1",139
"15457","1",90
"15458","1",90
"15459","1",90
"15460","1",90
"15461","1",70
"15462","1",70
"15463","1",50
"15464","1",50
"15465","1",9
"15466","1",139
"15467","1",139
"15468","1",139
"15472","1",139
"15473","1",139
"15474","1",139
"15477","1",139
"15478","1",139
"15479","1",139
"15480","1",93
"15481","1",93
"15482","1",92
"15483","1",35
"15484","1",20
"15485","1",20
"15486","1",1
"15487","1",195
"15488","1",163
"15489","1",130
"15490","1",120
"15491","1",120
"15492","1",110
"15493","1",110
"15494","1",105
"15495","1",105
"15496","2",105
"15497","2",15
"15498","1",1
"15499","1",25
"15500","1",180
"15501","1",176
"15502","1",176
"15503","1",176
"15504","1",168
"15505","1",168
"15506","1",168
"15508","1",160
"15509","1",160
"15510","1",160
"15511","1",158
"15512","1",158
"15513","1",158
"15514","1",154
"15515","1",154
"15516","1",154
"15517","1",150
"15518","1",150
"15519","1",150
"15520","1",150
"15521","1",150
"15522","1",150
"15523","1",150
"15524","1",150
"15525","1",150
"15526","1",150
"15527","1",140
"15530","1",119
"15531","1",119
"15532","1",119
"15543","1",115
"15544","1",115
"15545","1",115
"15556","1",110
"15557","1",110
"15560","1",102
"15561","1",102
"15562","1",102
"15563","1",102
"15564","1",102
"15565","1",102
"15566","1",11
"15569","1",139
"15570","1",139
"15571","1",139
"15572","1",139
"15573","1",139
"15574","1",139
"15575","1",139
"15576","1",139
"15577","1",139
"15578","1",139
"15579","1",139
"15580","1",139
"15581","1",139
"15582","1",139
"15583","1",139
"15584","1",139
"15585","1",139
"15586","1",139
"15587","3",139
"15588","3",139
"15589","1",139
"15590","1",139
"15591","1",139
"15592","1",139
"15593","1",139
"15594","1",139
"15595","1",139
"15596","1",139
"15597","1",139
"15598","1",139
"15599","1",139
"15600","1",20
"15601","1",139
"15602","1",139
"15603","1",139
"15604","1",139
"15605","1",139
"15606","1",139
"15607","1",139
"15608","1",139
"15609","1",139
"15610","1",139
"15611","1",139
"15612","1",139
"15613","2",6
"15614","1",80
"15615","1",60
"15617","1",90
"15618","1",78
"15619","2",106
"15620","1",77
"15621","1",139
"15622","1",139
"15623","1",106
"15624","1",70
"15626","1",180
"15627","1",160
"15634","1",200
"15635","1",190
"15636","1",175
"15637","1",110
"15638","1",110
"15639","1",105
"15640","1",105
"15641","1",105
"15642","1",105
"15643","1",105
"15644","1",100
"15645","1",100
"15646","1",97
"15647","1",97
"15648","1",88
"15649","1",88
"15650","1",85
"15651","1",85
"15652","1",139
"15653","1",139
"15654","1",139
"15655","1",139
"15656","1",180
"15657","1",120
"15658","1",110
"15659","1",15
"15660","1",139
"15661","1",1
"15662","1",185
"15663","1",195
"15664","1",90
"15665","1",70
"15666","1",168
"15667","2",159
"15668","1",1
"15671","1",139
"15673","1",15
"15674","1",80
"15676","1",130
"15677","1",1
"15678","1",80
"15688","4",185
"15695","1",105
"15696","1",105
"15697","1",139
"15698","1",139
"15701","1",139
"15702","1",139
"15703","1",139
"15704","1",139
"15705","1",139
"15706","1",139
"15707","1",139
"15708","1",139
"15709","1",139
"15710","1",139
"15711","1",139
"15712","1",139
"15713","1",139
"15714","1",139
"15715","1",139
"15716","3",139
"15717","3",139
"15718","3",139
"15719","3",139
"15720","3",139
"15721","3",139
"15724","1",139
"15725","1",139
"15726","1",139
"15727","3",139
"15728","3",139
"15729","3",139
"15730","1",139
"15731","1",139
"15732","1",139
"15733","1",139
"15734","1",139
"15735","1",139
"15736","1",139
"15737","1",139
"15738","1",139
"15739","1",139
"15740","1",139
"15741","1",139
"15742","1",139
"15743","1",139
"15744","1",139
"15745","1",139
"15746","1",139
"15747","1",139
"15748","1",139
"15749","1",139
"15750","1",139
"15751","1",139
"15752","1",139
"15753","1",139
"15754","1",139
"15755","1",139
"15756","1",139
"15757","1",139
"15758","1",139
"15759","1",139
"15760","4",139
"15761","3",139
"15762","1",228
"15763","1",228
"15764","1",228
"15765","1",220
"15766","1",220
"15767","1",220
"15768","1",185
"15769","1",185
"15770","1",185
"15771","1",175
"15772","1",175
"15773","1",175
"15774","1",175
"15775","1",160
"15776","1",160
"15777","1",160
"15778","1",156
"15779","1",156
"15780","1",156
"15781","1",115
"15782","1",115
"15783","1",115
"15784","1",110
"15785","1",110
"15786","1",11
"15787","1",190
"15788","1",190
"15789","1",190
"15790","1",190
"15791","1",190
"15792","1",190
"15793","1",115
"15794","1",115
"15795","1",115
"15796","1",110
"15797","1",110
"15798","1",109
"15799","1",109
"15800","1",109
"15801","1",20
"15802","1",47
"15803","1",52
"15804","1",44
"15805","2",1
"15806","1",1
"15807","1",1
"15808","1",1
"15809","1",1
"15810","1",1
"15811","1",1
"15812","1",1
"15813","1",1
"15814","1",43
"15815","1",105
"15816","1",90
"15817","1",139
"15818","1",139
"15819","1",195
"15820","1",170
"15821","1",190
"15822","1",190
"15823","1",10
"15824","1",25
"15825","1",20
"15826","1",20
"15827","1",15
"15828","1",74
"15829","1",15
"15830","1",15
"15831","1",15
"15832","1",40
"15833","1",20
"15834","1",15
"15835","1",15
"15836","1",15
"15837","1",3
"15838","1",20
"15839","1",139
"15840","1",30
"15841","1",30
"15842","1",25
"15843","1",20
"15844","1",20
"15845","1",20
"15846","1",15
"15847","1",10
"15848","1",95
"15849","4",258
"15850","3",3
"15851","1",15
"15852","1",15
"15853","1",15
"15854","1",15
"15855","1",15
"15856","1",15
"15857","1",15
"15858","1",15
"15859","3",139
"15860","4",258
"15861","4",258
"15862","1",139
"15863","1",139
"15865","4",271
"15866","4",265
"15867","4",265
"15868","4",263
"15869","2",260
"15870","2",260
"15871","2",259
"15872","4",259
"15873","2",257
"15874","2",251
"15875","4",249
"15876","1",160
"15877","1",155
"15878","1",155
"15880","1",130
"15881","1",130
"15882","1",130
"15883","1",130
"15894","1",110
"15895","1",110
"15896","1",109
"15897","4",107
"15898","1",104
"15899","1",100
"15900","1",100
"15901","1",115
"15902","1",115
"15903","1",100
"15904","1",100
"15905","1",96
"15906","1",96
"15907","1",95
"15908","1",95
"15909","1",95
"15910","1",95
"15911","1",95
"15912","1",83
"15913","1",83
"15914","1",95
"15915","1",95
"15916","1",95
"15917","1",95
"15918","1",90
"15919","1",90
"15921","1",9
"15922","1",139
"15923","1",139
"15924","1",139
"15925","1",139
"15926","1",139
"15927","1",139
"15928","1",140
"15929","1",1
"15930","1",1
"15931","1",45
"15932","1",230
"15933","1",15
"15934","1",15
"15935","1",180
"15937","1",195
"15938","1",189
"15939","1",182
"15942","1",84
"15943","1",139
"15945","1",40
"15946","1",139
"15947","1",18
"15948","1",40
"15950","1",139
"15951","1",130
"15952","1",100
"15953","1",245
"15954","1",240
"15955","1",230
"15956","1",60
"15958","1",100
"15959","1",100
"15960","1",105
"15961","1",105
"15962","1",97
"15963","1",97
"15964","1",97
"15965","1",95
"15966","1",95
"15967","1",95
"15968","1",94
"15969","1",94
"15970","1",94
"15971","1",94
"15972","1",94
"15973","1",94
"15974","1",92
"15975","1",92
"15976","1",90
"15977","1",90
"15978","1",90
"15979","1",90
"15980","1",83
"15981","1",83
"15982","1",9
"15983","1",9
"15984","1",139
"15985","1",139
"15986","1",139
"15987","1",139
"15988","1",139
"15989","1",139
"15990","1",139
"15991","1",139
"15992","1",139
"15993","1",139
"15994","1",139
"15995","1",139
"15996","1",139
"15997","1",139
"15998","1",139
"15999","1",139
"16000","1",139
"16001","1",105
"16002","1",105
"16003","1",105
"16004","1",100
"16005","1",100
"16006","1",99
"16007","1",99
"16008","1",99
"16009","1",90
"16010","1",90
"16011","1",89
"16012","1",89
"16013","1",89
"16014","1",11
"16015","1",10
"16016","1",9
"16017","1",139
"16018","1",139
"16019","1",139
"16023","1",50
"16024","1",50
"16025","1",35
"16026","1",115
"16027","1",110
"16028","1",24
"16029","1",30
"16030","1",139
"16031","1",139
"16032","1",115
"16033","1",38
"16034","1",125
"16035","1",100
"16036","1",135
"16037","1",130
"16038","1",120
"16039","1",120
"16041","1",135
"16042","1",100
"16043","1",3
"16044","1",139
"16045","1",30
"16046","1",15
"16049","1",139
"16050","1",190
"16051","1",40
"16052","1",30
"16053","1",23
"16054","1",80
"16055","1",110
"16056","1",20
"16057","1",115
"16058","1",40
"16059","1",20
"16060","1",1
"16061","1",8
"16062","1",8
"16063","1",5
"16064","1",3
"16065","1",90
"16066","1",90
"16067","1",25
"16068","1",25
"16069","1",25
"16070","1",20
"16071","1",20
"16072","1",15
"16073","1",15
"16074","1",15
"16075","1",10
"16076","1",5
"16077","1",70
"16078","1",1
"16079","1",20
"16080","1",20
"16081","1",20
"16082","1",139
"16083","1",20
"16084","1",8
"16085","1",5
"16086","1",139
"16087","1",139
"16088","1",20
"16089","1",168
"16090","1",168
"16091","1",168
"16092","1",91
"16093","1",91
"16094","1",91
"16095","1",90
"16096","1",90
"16097","1",45
"16098","1",45
"16099","1",9
"16101","1",100
"16102","1",100
"16103","1",95
"16104","1",95
"16105","1",80
"16106","1",80
"16107","1",55
"16108","1",55
"16109","1",50
"16110","1",50
"16111","1",50
"16112","1",50
"16113","1",30
"16114","1",30
"16115","1",275
"16116","1",275
"16117","1",239
"16118","1",239
"16119","1",60
"16120","1",60
"16121","2",277
"16122","2",270
"16123","2",265
"16124","2",265
"16125","2",260
"16126","2",256
"16127","2",255
"16128","2",252
"16129","2",250
"16130","2",245
"16131","2",244
"16132","2",243
"16133","3",240
"16134","3",240
"16135","3",240
"16136","2",231
"16137","4",225
"16138","4",193
"16144","2",139
"16145","2",139
"16146","2",139
"16147","2",139
"16148","2",139
"16149","4",139
"16150","4",139
"16151","4",139
"16152","4",139
"16153","3",139
"16154","3",139
"16155","3",139
"16156","2",139
"16158","3",268
"16159","3",268
"16160","1",250
"16161","1",250
"16162","1",241
"16163","1",241
"16164","1",241
"16165","1",240
"16166","1",240
"16167","1",240
"16168","1",240
"16169","1",240
"16170","1",214
"16171","1",214
"16172","1",205
"16173","1",205
"16174","3",202
"16175","3",202
"16176","3",202
"16177","1",200
"16178","1",200
"16179","1",200
"16180","1",200
"16181","1",192
"16182","1",192
"16183","1",192
"16184","1",192
"16185","1",192
"16186","1",192
"16187","1",139
"16188","1",139
"16189","1",139
"16190","1",139
"16191","1",139
"16192","1",139
"16193","1",139
"16194","1",139
"16195","1",139
"16196","1",139
"16197","1",139
"16198","1",139
"16199","1",139
"16200","1",139
"16201","1",139
"16202","1",139
"16203","1",139
"16204","1",139
"16205","1",139
"16206","1",139
"16207","1",139
"16208","1",139
"16209","1",139
"16210","1",139
"16211","1",139
"16212","1",139
"16213","1",139
"16214","1",95
"16215","1",95
"16216","1",93
"16217","1",93
"16218","1",40
"16219","1",20
"16220","1",1
"16221","1",150
"16222","1",250
"16223","1",177
"16224","1",20
"16225","1",20
"16226","1",1
"16227","1",1
"16228","1",1
"16229","1",130
"16230","1",140
"16231","1",126
"16232","1",72
"16233","1",173
"16234","1",120
"16235","1",120
"16237","1",1
"16238","1",139
"16239","1",25
"16240","1",20
"16241","1",139
"16242","1",139
"16243","1",139
"16244","1",40
"16246","3",220
"16247","1",100
"16248","1",100
"16249","1",235
"16250","1",235
"16251","1",235
"16252","1",110
"16253","1",110
"16263","1",120
"16264","1",120
"16265","1",115
"16266","1",115
"16267","1",115
"16268","1",115
"16269","1",114
"16270","1",114
"16271","1",112
"16272","1",112
"16273","1",110
"16274","1",110
"16275","1",102
"16276","1",102
"16277","1",139
"16278","1",139
"16279","1",139
"16280","1",98
"16281","1",98
"16282","1",90
"16283","1",90
"16284","1",90
"16285","1",90
"16286","1",87
"16287","1",87
"16288","1",139
"16289","1",139
"16290","1",139
"16291","1",139
"16292","1",139
"16293","1",139
"16294","1",139
"16295","1",139
"16296","1",108
"16297","1",108
"16299","1",75
"16300","1",170
"16308","3",139
"16309","3",139
"16310","3",139
"16311","3",139
"16312","3",139
"16313","3",139
"16314","3",139
"16315","3",139
"16316","3",139
"16317","3",139
"16318","3",139
"16319","3",139
"16320","1",269
"16321","1",269
"16322","1",269
"16323","1",269
"16324","1",269
"16325","1",269
"16326","1",268
"16327","1",268
"16328","1",268
"16329","2",264
"16330","2",264
"16331","2",264
"16332","1",264
"16333","1",264
"16334","1",264
"16335","1",264
"16336","1",264
"16337","1",264
"16338","1",264
"16339","1",264
"16340","1",264
"16341","1",264
"16342","1",264
